size,id,RF
8,1822,60.0
9,32709,83.33
10,28864,57.14
11,11523,50.0
12,7791,55.56
13,13951,70.0
14,10953,45.45
15,11018,33.33
20,10618,47.06
20,41388,17.65
21,45255,33.33
21,48947,27.78
22,1,21.05
22,10240,15.79
23,29684,25.0
23,48363,5.0
24,11027,23.81
24,11191,19.05
25,18286,18.18
25,40617,9.09
26,1,17.39
26,57060,21.74
27,12314,8.33
27,15842,16.67
28,45644,20.0
28,58351,12.0
29,9086,15.38
