size,id,RF
20,10618,52.94
20,41388,29.41
21,45255,72.22
21,48947,55.56
22,10240_1,52.63
22,10240,52.63
23,29684,55.0
23,48363,20.0
24,11027,52.38
24,11191,42.86
25,18286,72.73
25,40617,59.09
26,57060_1,95.65
26,57060,95.65
27,12314,91.67
27,15842,87.5
28,45644,56.0
28,58351,92.0
29,9086,80.77
