size,id,RF
20,10618,58.82
20,41388,41.18
21,45255,88.89
21,48947,66.67
22,1,52.63
22,10240,47.37
23,29684,65.0
23,48363,20.0
24,11027,38.1
24,11191,76.19
25,18286,77.27
