size,id,time
10,matrix_28864.npy,146148.87573242188
11,matrix_11523.npy,354968.6513671875
12,matrix_7791.npy,1347440.6188964844
13,matrix_13951.npy,3343569.6540527344
14,matrix_10953.npy,6673221.276123047
15,matrix_11018.npy,8107169.531005859
8,matrix_1822.npy,38260.060546875
9,matrix_32709.npy,46715.081787109375
