TREE_ID,NUM_TAXA,BRANCH_LENGTH_MEAN
45255,21,0.4225830163250577
48947,21,0.3793275835596881
10240,22,0.35415767699991424
29684,23,0.27056174761634716
48363,23,0.4228732200006664
11027,24,0.403336038841629
11191,24,0.36783224691705374
18286,25,0.4533329237275352
40617,25,0.30027624034967554
57060,26,0.2621699959890915
12314,27,0.4194190780538552
15842,27,0.38675063265549503
45644,28,0.49629709248140075
58351,28,0.37167266384865283
9086,29,0.44033258109504214
12375,30,0.28902189820632174
59413,30,0.33169722430373755
28589,31,0.3240964983836768
28601,31,0.36119012473299994
13828,32,0.3172164582205445
40648,32,0.310107968528637
13007,33,0.3223101854582394
24444,33,0.3154204544918619
28634,34,0.3828553529601144
57672,34,0.2529188387786993
46161,35,0.43369451107797985
12763,36,0.33053905846770865
59105,36,0.3422795411725521
19394,37,0.5375884277005741
41415,37,0.34355713083018874
9666,38,0.48786394632749114
11594,39,0.4989552101360541
27001,39,0.3795481795228682
