size,id,RF
20,10618,52.94
20,41388,29.41
21,45255,61.11
21,48947,55.56
22,10240_1,52.63
22,10240,57.89
23,29684,45.0
23,48363,15.0
24,11027,23.81
24,11191,33.33
25,18286,59.09
25,40617,31.82
