size,id,RF
20,10618,41.18
20,41388,47.06
21,45255,38.89
21,48947,50.0
22,1,47.37
22,10240,47.37
23,29684,65.0
23,48363,15.0
24,11027,38.1
24,11191,52.38
10,28864,71.43
11,11523,75.0
12,7791,44.44
13,13951,70.0
14,10953,63.64
15,11018,50.0
8,1822,100.0
9,32709,66.67
