size,id,clust
20,10618,0.6443232470128981
20,41388,0.3232007062282609
21,45255,0.5647288461763038
21,48947,0.48377071281800776
22,10240,0.34346300199214175
22,1,0.3713521860917587
23,29684,0.4683161829452781
23,48363,0.3092363672943159
24,11027,0.36060877471075237
24,11191,0.41863030224590725
25,18286,0.3702645954630003
25,40617,0.30129386302077776
26,57060,0.4382438194497369
26,1,0.3126129297668825
27,12314,0.34291530264009384
27,15842,0.41280529549772416
28,45644,0.3871729436582313
28,58351,0.43384659562800165
29,9086,0.35006562940821173
